geneID	10m	20m	30m	40m	50m	60m	80m	100m	120m	160m	geneName	function
YDR260C	-0.15	-1.32	-0.42	-0.49	-0.38	-0.04	0	-0.14	0.01	0	SWM1	"Subunit of the anaphase-promoting complex, which is an E3 ubiquitin ligase that regulates the metaphase-anaphase transition and exit from mitosis; required for activation of the daughter-specific gene expression and spore wall maturation"
YDR261C	-0.89	-0.92	-0.56	0.62	-0.3	-0.49	-0.2	-0.67	-0.42	-0.27	EXG2	"Exo-1,3-beta-glucanase, involved in cell wall beta-glucan assembly; may be anchored to the plasma membrane via a glycosylphosphatidylinositol (GPI) anchor"
YDR262W	0.04	0.18	0.16	-0.07	0.24	0.03	0.08	0.07	0.15	0.07	YDR262W	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the vacuole and is induced in response to the DNA-damaging agent MMS; gene expression increases in response to Zymoliase treatment
YDR263C	0.63	0.82	0.84	0.37	0.81	0.3	0.38	0.21	0.32	0.49	DIN7	"Mitochondrial nuclease functioning in DNA repair and replication, modulates the stability of the mitochondrial genome, induced by exposure to mutagens, also induced during meiosis at a time nearly coincident with commitment to recombination"
YDR264C	0.4	0.16	0.23	0.65	0.13	0.06	0.09	-0.22	-0.3	-0.24	AKR1	Palmitoyl transferase involved in protein palmitoylation; acts as a negative regulator of pheromone response pathway; required for endocytosis of pheromone receptors; involved in cell shape control; contains ankyrin repeats
YDR265W	0.06	-0.47	-0.18	-0.38	-0.06	-0.35	-0.15	-0.22	-0.27	-0.04	PEX10	"Peroxisomal membrane E3 ubiquitin ligase, required for for Ubc4p-dependent Pex5p ubiquitination and peroxisomal matrix protein import; contains zinc-binding RING domain; mutations in human homolog cause various peroxisomal disorders"
YDR266C		0.79	-1.89	-0.55		-4.64					HEL2	"Protein of unknown function that may interact with ribosomes, based on co-purification experiments;green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; contains a RING finger domain"
YDR267C	0.34	-0.47	-0.21	-0.7	0.09	0.18	-0.27	-0.45	-0.18	-0.58	CIA1	WD40 repeat protein involved in assembly of cytosolic and nuclear iron-sulfur proteins; similar to the human Ciao1 protein; YDR267C is an essential gene
YDR268W	0.94	0.93	1	0.24	0.7	0.63	0.19	-0.09	0.11	-0.24	MSW1	Mitochondrial tryptophanyl-tRNA synthetase
YDR269C	0.85	1.47	1.21	-0.31	0.54	0.59	0.19	-0.14	0.05	-0.41	YDR269C	"Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data"
YDR270W	0.96	1.05	0.84	0.26	0.52	0.53	0.25	0.07	-0.16	-0.57	CCC2	"Cu(+2)-transporting P-type ATPase, required for export of copper from the cytosol into an extracytosolic compartment; has similarity to human proteins involved in Menkes and Wilsons diseases"
YDR271C	0.92	0.96	1.23	0.06	0.67	0.51	0.22	0.14	-0.05	-0.31	YDR271C	"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF CCC2/YDR270W"
YDR272W	0.48	0.5	1.07	0.36	0.97	0.85	0.29	0.04	0.29	-0.29	GLO2	"Cytoplasmic glyoxalase II, catalyzes the hydrolysis of S-D-lactoylglutathione into glutathione and D-lactate"
YDR273W	0.34	0.2	0.56	0.09	0.03	-0.11	-0.14	0.12	-0.26	-0.64	DON1	"Meiosis-specific component of the spindle pole body, part of the leading edge protein (LEP) coat, forms a ring-like structure at the leading edge of the prospore membrane during meiosis II"
YDR274C	-0.6	-0.01	0.06	-0.65	-0.14	0.01	0.33	0.28	-0.05	-0.24	YDR274C	"Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data"
YDR275W	-0.67	-0.36	-0.04	-0.1	-0.11	-0.11	0.07	-0.08	-0.19	-0.31	BSC2	"Protein of unknown function, ORF exhibits genomic organization compatible with a translational readthrough-dependent mode of expression"
YDR276C	0.81	0.37	0.88	1.01	0.31	0.12	-0.54	-0.25	-0.12	-0.54	PMP3	"Small plasma membrane protein related to a family of plant polypeptides that are overexpressed under high salt concentration or low temperature, not essential for viability, deletion causes hyperpolarization of the plasma membrane potential"
YDR277C	-0.17	0.42	0.37	-0.23	0.58	0.19	-0.07	0.48	0.08	0.2	MTH1	"Negative regulator of the glucose-sensing signal transduction pathway, required for repression of transcription by Rgt1p; interacts with Rgt1p and the Snf3p and Rgt2p glucose sensors; phosphorylated by Yck1p, triggering Mth1p degradation"
YDR278C	0.65	-0.1	0.52	0.38	0.2	-0.32	-0.22	-0.3	0.1	-0.47	YDR278C	"Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data"
YDR279W	0.4	-0.17	-0.04	1.12	0.15	0.11	-0.29	-0.22	-0.45	-0.49	RNH202	"Ribonuclease H2 subunit, required for RNase H2 activity; related to human AGS2 that causes Aicardi-Goutieres syndrome"
YDR280W	-0.36	-0.97	-0.81	-0.42	-0.3	-0.25	-0.64	-0.43	-0.34	-0.84	RRP45	"Exosome non-catalytic core component; involved in 3'-5' RNA processing and degradation in both the nucleus and the cytoplasm; has similarity to E. coli RNase PH and to human hRrp45p (PM/SCL-75, EXOSC9)"
YDR281C				-0.75							PHM6	"Protein of unknown function, expression is regulated by phosphate levels"
YDR282C	0.19	0.12	0.39	0.58	0.41	0.39	0.7	-0.15	0.67	0.25	MRX10	Putative protein of unknown function
YDR283C	-0.03	0.52	-0.03	0.02	-0.1	-0.03	0.2	-0.36	0.21	0.28	GCN2	"Protein kinase, phosphorylates the alpha-subunit of translation initiation factor eIF2 (Sui2p) in response to starvation; activated by uncharged tRNAs and the Gcn1p-Gcn20p complex; contributes to DNA damage checkpoint control"
YDR284C	0.65	1.26	0.58	0.59	0.37	0.31	0.39	-0.3	0.51	-0.03	DPP1	"Diacylglycerol pyrophosphate (DGPP) phosphatase, zinc-regulated vacuolar membrane-associated lipid phosphatase, dephosphorylates DGPP to phosphatidate (PA) and Pi, then PA to diacylglycerol; involved in lipid signaling and cell metabolism"
YDR285W	0	0.51	0.34	-0.01	0.03	-0.13	0.18	-0.18	0.05	0.12	ZIP1	Transverse filament protein of the synaptonemal complex; required for normal levels of meiotic recombination and pairing between homologous chromosome during meiosis; potential Cdc28p substrate
YDR286C	0.82	1.34	1.07	1.73	0.6	0.7	0.74	0	0.8	-0.1	MGP12	Putative protein of unknown function; predicted to have thiol-disulfide oxidoreductase active site
YDR287W	0.21	0.87	0.96	0.39	0.29	0.08	0.38	-0.18	0.33	0.16	INM2	"Inositol monophosphatase, involved in biosynthesis of inositol; enzymatic activity requires magnesium ions and is inhibited by lithium and sodium ions; inm1 inm2 double mutant lacks inositol auxotrophy"
YDR288W	0.38	1.03	0.42	0.51	0.12	0.12	0.28	-0.6	0.4	0.24	NSE3	Essential subunit of the Mms21-Smc5-Smc6 complex; protein of unknown function; required for DNA repair and growth
YDR289C	0.2	0.5	0.45	1	0.24	0.31	0.28	-0.3	0.06	0.24	RTT103	"Protein that interacts with exonuclease Rat1p and Rai1p and plays a role in transcription termination by RNA polymerase II, has an RPR domain (carboxy-terminal domain interacting domain); also involved in regulation of Ty1 transposition"
YDR290W	0.23	0.63	0.46	0.3	-0.01	0.19	0.19	-0.49	0.23	-0.01	YDR290W	"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF RTT103"
YDR291W	-0.67	0.31	-0.1	-0.45	0.1	-0.03	0.04	-0.12	-0.07	0.1	HRQ1	Putative RecQ helicase; belongs to the widely conserved RecQ family of proteins which are involved in maintaining genomic integrity; similar to the human RecQ4p implicated in Rothmund-Thomson syndrome(RTS)
YDR292C	0	0.12	-0.23	-0.43	-0.43	-0.22	0.11	-0.79	0	0.12	SRP101	"Signal recognition particle (SRP) receptor alpha subunit; contain GTPase domains; involved in SRP-dependent protein targeting; interacts with the beta subunit, Srp102p"
YDR293C	0.11	0.49	0.57	0.01	0.7	0.33	0.55	0.49	0.38	0.42	SSD1	Translational repressor with a role in cell wall polar growth and integrity; regulated by Cbk1p phosphorylation to effect bud-specific translational control of specific mRNAs; interacts with TOR pathway components
YDR294C	0.42	0.29	1.16	-0.22	0.38	0.79	0.41	-0.3	0.19	0.57	DPL1	"Dihydrosphingosine phosphate lyase, regulates intracellular levels of sphingolipid long-chain base phosphates (LCBPs), degrades phosphorylated long chain bases, prefers C16 dihydrosphingosine-l-phosphate as a substrate"
YDR295C	-0.87	-2.77	0.18	1.88	-0.2	-0.52	-0.64	-0.07	-0.54	-0.99	HDA2	Subunit of a possibly tetrameric trichostatin A-sensitive class II histone deacetylase complex containing an Hda1p homodimer and an Hda2p-Hda3p heterodimer; involved in telomere maintenance
YDR297W	-1.06	-1.03	-1.47	-1.15	-0.89	-0.4	-0.42	-0.76	-0.51	-0.17	SUR2	"Sphinganine C4-hydroxylase, catalyses the conversion of sphinganine to phytosphingosine in sphingolipid biosyntheis"
YDR298C	-0.47	-0.76	-0.36	-0.14	0.3	0.31	0.31	-0.1	0.39	0.48	ATP5	"Subunit 5 of the stator stalk of mitochondrial F1F0 ATP synthase, which is an evolutionarily conserved enzyme complex required for ATP synthesis; homologous to bovine subunit OSCP (oligomycin sensitivity-conferring protein); phosphorylated"
YDR299W	-1.69	-2.4	-1.47	-0.49	-0.47	-0.14	-0.03	-0.34	-0.06	-0.01	BFR2	Essential protein that is a component of 90S preribosomes; may be involved in rRNA processing; multicopy suppressor of sensitivity to Brefeldin A; expression is induced during lag phase and also by cold shock
YDR300C	-0.4	-0.97	-1.79		-0.49	-0.1	0.1	-0.51	0.07	0.19	PRO1	"Gamma-glutamyl kinase, catalyzes the first step in proline biosynthesis"
YDR301W	0.25	0.49	0.23	-0.33	-0.17	0.02	-0.3	-0.25	-0.23	-0.12	CFT1	"RNA-binding subunit of the mRNA cleavage and polyadenylation factor; involved in poly(A) site recognition and required for both pre-mRNA cleavage and polyadenylation, 51% sequence similarity with mammalian AAUAA-binding subunit of CPSF"
YDR302W	0.38	0.07	-0.54	0.9	-0.4	-0.06	0.1	-0.56	0.18	0.26	GPI11	ER membrane protein involved in a late step of glycosylphosphatidylinositol (GPI) anchor assembly; involved in the addition of phosphoethanolamine to the multiply mannosylated GPI intermediate; human PIG-Fp is a functional homolog
YDR303C	-0.17	0.03	-0.14	0.07	-0.12	-0.34	-0.03	-0.32	-0.32	0.12	RSC3	Component of the RSC chromatin remodeling complex; essential gene required for maintenance of proper ploidy and regulation of ribosomal protein genes and the cell wall/stress response; highly similar to Rsc30p
YDR304C	0.37	0.25	0.54	-0.21	0.59	0.36	0.31	-0.29	0.26	0.36	CPR5	"Peptidyl-prolyl cis-trans isomerase (cyclophilin) of the endoplasmic reticulum, catalyzes the cis-trans isomerization of peptide bonds N-terminal to proline residues; transcriptionally induced in response to unfolded proteins in the ER"
YDR305C	-0.1	0.08	0.29	0.06	0.31	0.2	0.25	-0.14	0.06	0.37	HNT2	Dinucleoside triphosphate hydrolase; has similarity to the tumor suppressor FHIT and belongs to the histidine triad (HIT) superfamily of nucleotide-binding proteins
YDR306C	0.63	0.53	0.21	0.28	-0.01	-0.15	0.21	0.41	0.14	0.31	YDR306C	F-box protein of unknown function; interacts with Sgt1p via a Leucine-Rich Repeat (LRR) domain
YDR307W	0.12	0.07	0.62	0.22	-0.01	0.11	0	0.41	0.12	0.2	PMT7	Putative protein of unknown function
YDR308C	0.48	0.14	-0.01	0.98	-0.23	-0.14	0.19	0.15	0.29	0.24	SRB7	Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation; target of the global repressor Tup1p
YDR309C	-1.12	-0.76	-1.09	3.61	-0.89	-0.47	-0.49	0.01	-0.22	-0.2	GIC2	"Redundant rho-like GTPase Cdc42p effector; homolog of Gic1p; involved in initiation of budding and cellular polarization; interacts with Cdc42p via the Cdc42/Rac-interactive binding (CRIB) domain and with PI(4,5)P2 via a polybasic region"
YDR310C	-0.32	-0.51	-1.25	0.67	-0.29	-0.34	0.1	0.23	0.25	0.18	SUM1	"Transcriptional repressor required for mitotic repression of middle sporulation-specific genes; also acts as general replication initiation factor; involved in telomere maintenance, chromatin silencing; regulated by pachytene checkpoint"
YDR311W	0.15	-0.14	0.23		-0.25	-0.29	-0.12	0.14	-0.17	-0.1	TFB1	"Subunit of TFIIH and nucleotide excision repair factor 3 complexes, required for nucleotide excision repair, target for transcriptional activators"
YDR312W	-1.4	-1.43	-1.84	-1.05	-0.43	-0.15	0.25	0.23	0.21	0.18	SSF2	"Protein required for ribosomal large subunit maturation, functionally redundant with Ssf1p; member of the Brix family"
YDR313C	0.43	-5.06	0.29	0.32	0.34	0.39	0.34	0.51	0.26	0.31	PIB1	"RING-type ubiquitin ligase of the endosomal and vacuolar membranes, binds phosphatidylinositol(3)-phosphate; contains a FYVE finger domain"
YDR314C	-0.04	-0.79	0.36	-0.1	-0.15	-0.32	-0.04	-0.03	-0.06	0.21	RAD34	Protein involved in nucleotide excision repair (NER); homologous to RAD4
YDR315C	-0.97	-0.42	0.49	1.36	0.03	0.43	0.28	0.4	0.37	0.41	IPK1	"Inositol 1,3,4,5,6-pentakisphosphate 2-kinase, nuclear protein required for synthesis of 1,2,3,4,5,6-hexakisphosphate (phytate), which is integral to cell function; has 2 motifs conserved in other fungi; ipk1 gle1 double mutant is inviable"
YDR316W	0.56	-0.14	0.56	0.45	0.03	0.06	0.31	0.31	0.4	0.58	OMS1	Protein integral to the mitochondrial membrane; has a conserved methyltransferase motif; multicopy suppressor of respiratory defects caused by OXA1 mutations
YDR317W	-0.58	-0.6	0.6	0.28	0.07	0.54	0.62	0.56	0.25	0.61	HIM1	Protein of unknown function involved in DNA repair
YDR318W	0.06	0.48	0.1	0.94	-0.14	-0.03	0.3	0.25	0.18	0.2	MCM21	"Protein involved in minichromosome maintenance; component of the COMA complex (Ctf19p, Okp1p, Mcm21p, Ame1p) that bridges kinetochore subunits that are in contact with centromeric DNA and the subunits bound to microtubules"
YDR319C	-0.01		0.52	0.54	0.08	0.14	0.11	0.33	-0.25	0.11	YFT2	"Putative protein of unknown function, identified as an ortholog of the highly conserved FIT family of proteins involved in triglyceride droplet biosynthesis; interacts with Sst2p and Hsp82p in high-throughput two-hybrid screens"
YDR320C	0.29	0.2	0.29	0.59	-0.03	-0.17	-0.07	0.34	-0.23	-0.14	SWA2	Auxilin-like protein involved in vesicular transport; clathrin-binding protein required for uncoating of clathrin-coated vesicles
YDR321W	-0.81		-1.47	-0.89	-1.12	-0.86	-0.43	-0.04	-0.23	-0.29	ASP1	"Cytosolic L-asparaginase, involved in asparagine catabolism"
YDR322W	0.37	0.79	0.78	0.46	0.44	0.19	0.4	0.44	0.34	0.53	MRPL35	Mitochondrial ribosomal protein of the large subunit
YDR323C	-0.45	0.19	0.01	1.44	0.06	-0.1	-0.03	0.2	-0.29	0	PEP7	"Multivalent adaptor protein that facilitates vesicle-mediated vacuolar protein sorting by ensuring high-fidelity vesicle docking and fusion, which are essential for targeting of vesicles to the endosome; required for vacuole inheritance"
YDR324C	-1.47	-2.18	-1.79	-0.42	-0.97	-0.71	-0.36	0.16	-0.34	-0.29	UTP4	Subunit of U3-containing 90S preribosome and Small Subunit (SSU) processome complexes involved in production of 18S rRNA and assembly of small ribosomal subunit; member of t-Utp subcomplex involved with transcription of 35S rRNA transcript
YDR325W	-1.06	-0.45	-0.47		-0.1	-0.17	-0.07	0.14	-0.38	0.1	YCG1	"Subunit of the condensin complex; required for establishment and maintenance of chromosome condensation, chromosome segregation and chromatin binding of the condensin complex; required for clustering of tRNA genes at the nucleolus"
YDR326C	-0.29	-0.25	-0.74	-0.38	-0.47	-0.38	-0.03	0.29	-0.12	0.04	YSP2	Protein involved in programmed cell death; mutant shows resistance to cell death induced by amiodarone or intracellular acidification
YDR327W	-0.43	-0.45	-0.06		-0.17	-0.25	0.06	0.16	-0.25	0.1	YDR327W	"Dubious open reading frame unlikely to encode a protein, based on experimental and comparative sequence data; partially overlaps the verified gene SKP1"
YDR328C	0.2	0.32	0.01	-0.2	0.07	-0.01	0.19	0.25	0.15	0.12	SKP1	"Evolutionarily conserved kinetochore protein that is part of multiple protein complexes, including the SCF ubiquitin ligase complex, the CBF3 complex that binds centromeric DNA, and the RAVE complex that regulates assembly of the V-ATPase"
YDR329C	-0.01	0.1	0.26	0.62	0.39	0.12	0.06	0.19	-0.36	-0.03	PEX3	Peroxisomal membrane protein (PMP) required for proper localization and stability of PMPs; anchors peroxisome retention factor Inp1p at the peroxisomal membrane; interacts with Pex19p
YDR330W	-0.12	0.07	1.11	0.41	0.79	0.29	0.08	0.34	-0.03	0.07	UBX5	UBX (ubiquitin regulatory X) domain-containing protein that interacts with Cdc48p
YDR331W	-0.74	-0.01	-0.42	0.32	-0.79	-0.47	-0.27	-0.54	-0.32	0.06	GPI8	ER membrane glycoprotein subunit of the glycosylphosphatidylinositol transamidase complex that adds glycosylphosphatidylinositol (GPI) anchors to newly synthesized proteins; human PIG-K protein is a functional homolog
YDR332W	-0.43	-0.01	-0.32	0.39	-0.2	-0.4	-0.18	0.24	-0.07	0.1	IRC3	Putative RNA helicase of the DEAH/D-box family; null mutant displays increased levels of spontaneous Rad52p foci; green fluorescent protein (GFP)-fusion protein localizes to the mitochondrion
YDR333C	-0.49	-0.2	-0.36		-0.49	-0.64	-0.32	-0.47	-0.43	-0.2	RQC1	Putative protein of unknown function
YDR334W	-0.23	-0.3	0.1	-0.11	-0.03	-0.79	-0.36	0.1	-0.25	-0.07	SWR1	"Swi2/Snf2-related ATPase that is the structural component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A"
YDR335W	-0.34	0.24	0.04	0.18	-0.18	-0.18	-0.14	-0.38	-0.29	-0.07	MSN5	"Karyopherin involved in nuclear import and export of proteins, including import of replication protein A and export of Swi6p, Far1p, and Pho4p; required for re-export of mature tRNAs after their retrograde import from the cytoplasm"
YDR336W	-0.22	0.21	0.11		-0.32	-0.43	-0.03	0.19	0.1	0.11	MRX8	Putative protein of unknown function; sumoylated under stress conditions in a genome wide study; YDR336W is not an essential gene
YDR337W	-0.4	-0.18	-0.03	-1.64	-0.1	0.06	-0.09	-0.32	-0.03	0.32	MRPS28	Mitochondrial ribosomal protein of the small subunit
YDR338C	-0.17	-0.07	-1.69	0.03	-0.38	-0.54	-0.18	0.06	-0.36	-0.2	YDR338C	"Putative protein of unknown function, member of the multi-drug and toxin extrusion (MATE) family of the multidrug/oligosaccharidyl-lipid/polysaccharide (MOP) exporter superfamily"
YDR339C	-0.69	-0.89	-0.47	-0.84	-0.71	-0.36	-0.2	-0.62	-0.23	-0.07	FCF1	Putative PINc domain nuclease required for early cleavages of 35S pre-rRNA and maturation of 18S rRNA; component of the SSU (small subunit) processome involved in 40S ribosomal subunit biogenesis; copurifies with Faf1p
YDR340W	-0.06	-0.03	-0.1		-0.17	-0.01	0.48	0.56	0.24	0.4	YDR340W	Putative protein of unknown function
YDR341C	-0.43	-0.67	-0.89	-0.1	-0.94	-0.6	-0.2	-0.62	-0.45	-0.1	YDR341C	"Arginyl-tRNA synthetase, proposed to be cytoplasmic but the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"
YDR342C	-1.09	0.06	0.2	0.63	0.58	0.7	0.41	0.36	0.7	1.15	HXT7	"High-affinity glucose transporter of the major facilitator superfamily, nearly identical to Hxt6p, expressed at high basal levels relative to other HXTs, expression repressed by high glucose levels"
YDR343C	-0.6	0.06	0.23	0.82	0.99	0.88	0.29	0.13	0.47	0.44	HXT6	"High-affinity glucose transporter of the major facilitator superfamily, nearly identical to Hxt7p, expressed at high basal levels relative to other HXTs, repression of expression by high glucose requires SNF3"
YDR344C	0.18	1.25	-0.27	0.58	-0.34	-0.1	-0.2	-0.15	0.04	-0.25	YDR344C	"Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data"
YDR345C	-2	-1.69	-1.09	-0.54	0.4	0.16	0.2	-0.12	0.16	0.4	HXT3	"Low affinity glucose transporter of the major facilitator superfamily, expression is induced in low or high glucose conditions"
YDR346C	-0.81	-1.03	-1.25	-0.84	-0.29	-0.12	0.03	-0.25	-0.17	-0.06	SVF1	"Protein with a potential role in cell survival pathways, required for the diauxic growth shift; expression in mammalian cells increases survival under conditions inducing apoptosis; mutant has increased aneuploidy tolerance"
YDR347W	-1.15	-0.3	-0.01	0.82	0.34	0.07	-0.01	-0.17	-0.14	0.14	MRP1	"Mitochondrial ribosomal protein of the small subunit; MRP1 exhibits genetic interactions with PET122, encoding a COX3-specific translational activator, and with PET123, encoding a small subunit mitochondrial ribosomal protein"
YDR348C	-0.32	-0.17	-0.64	-0.71	-0.4	-0.06	-0.15	-0.32	-0.34	-0.04	PAL1	Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery and bud neck; potential Cdc28p substrate
YDR349C	-1.32	-0.62	-0.6	2.04	0.25	-0.29	0.01	-0.34	-0.32	-0.1	YPS7	"Putative GPI-anchored aspartic protease, member of the yapsin family of proteases involved in cell wall growth and maintenance; located in the cytoplasm and endoplasmic reticulum"
YDR350C	0.5	1.5	0.93	0.61	0.03	0.19	0.01	-0.06	-0.1	0.15	ATP22	"Specific translational activator for the mitochondrial ATP6 mRNA, encoding a subunit of F1F0 ATP synthase; localized to the mitochondrial inner membrane"
YDR351W	-0.79	-0.56	-0.32	-0.1	0.08	-0.32	-0.18	-0.27	-0.45	-0.15	SBE2	Protein involved in the transport of cell wall components from the Golgi to the cell surface; required for bud growth
YDR352W	0.44	-0.42	-0.42	-0.12	-0.23	0.16	-0.14	-0.29	-0.25	0.01	YPQ2	Putative protein of unknown function
YDR354W	0.3	0.16	-0.04	-0.92	0.16	-0.07	-0.71	-0.51	-0.42	-0.92	TRP4	"Anthranilate phosphoribosyl transferase of the tryptophan biosynthetic pathway, catalyzes the phosphoribosylation of anthranilate, subject to the general control system of amino acid biosynthesis"
YDR355C	0.01	-0.89	-0.56	-0.32	-0.09	0.29	-0.4	-0.34	-0.23	-0.71	YDR355C	"Dubious: Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified essential ORF SPC110/YDR356W"
YDR356W	-0.25	-0.24	-0.26	-0.06	-0.02	-0.23	-0.11	-0.45	-0.28	-0.33	SPC110	"Inner plaque spindle pole body (SPB) component, ortholog of human kendrin; involved in connecting nuclear microtubules to SPB; interacts with Tub4p-complex and calmodulin; phosphorylated by Mps1p in cell cycle-dependent manner"
YDR357C	0.62	0.44	1.21	1.45	0.56	0.62	-0.15	0	0.23	-0.17	CNL1	Protein of unknown function; likely member of BLOC complex involved in endosomal cargo sorting; null mutant is sensitive to drug inducing secretion of vacuolar cargo; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm
YDR358W	-0.03	2	2.01	0.87	1.36	1.25	0.58	0.11	0.2	0.15	GGA1	"Golgi-localized protein with homology to gamma-adaptin, interacts with and regulates Arf1p and Arf2p in a GTP-dependent manner in order to facilitate traffic through the late Golgi"
YDR359C	0.07	-0.08	0.47	0.02	0.51	0.14	-0.09	0.01	-0.05	-0.02	EAF1	"Component of the NuA4 histone acetyltransferase complex; acts as a platform for assembly of NuA4 subunits into the native complex; required for initiation of pre-meiotic DNA replication, likely due to its requirement for expression of IME1"
YDR360W	-0.04	-0.27	0.25	-0.51	0.36	0.06	-0.06	-0.14	-0.3	-0.4	YDR360W	"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps verified gene VID21/YDR359C."
YDR361C	-0.69	-2	-1.47	-0.89	-0.54	-0.27	-0.45	-0.47	-0.38	-0.84	BCP1	"Essential protein involved in nuclear export of Mss4p, which is a lipid kinase that generates phosphatidylinositol 4,5-biphosphate and plays a role in actin cytoskeleton organization and vesicular transport"
YDR362C	0.5	-0.69	0.77	-0.2	0.46	0.11	-0.17	-0.34	-0.43	-0.58	TFC6	One of six subunits of RNA polymerase III transcription initiation factor complex (TFIIIC); part of TFIIIC TauB domain that binds BoxB promoter sites of tRNA and other genes; cooperates with Tfc3p in DNA binding; human homolog is TFIIIC-110
YDR363W	0.15	-0.47	0.26	0.01	0.12	0.01	-0.45	-0.62	-0.56	-0.64	ESC2	"Sumo-like domain protein; prevents accumulation of toxic intermediates during replication-associated recombinational repair; roles in silencing, lifespan, chromatid cohesion and the intra-S-phase DNA damage checkpoint; RENi family member"
YDR364C	0.75	-0.25	-0.07	-0.06	-0.03	0.07	-0.38	-0.4	-0.2	-0.62	CDC40	"Pre-mRNA splicing factor, important for catalytic step II of pre-mRNA splicing and plays a role in cell cycle progression; required for DNA synthesis during mitosis and meiosis; has WD repeats"
YDR365C		-2.32	-1.47	-1.32	-0.43	-0.4					ESF1	Nucleolar protein involved in pre-rRNA processing; depletion causes severely decreased 18S rRNA levels
YDR366C	0.29	-0.01	0.18	0.24	0.46	0.46	0.28	0.12	0.24	-0.01	YDR366C	Putative protein of unknown function
YDR367W	0.77	0.3	0.36	0.7	0.07	0.12	-0.22	-0.1	-0.18	-0.47	KEI1	Component of inositol phosphorylceramide (IPC) synthase; forms a complex with Aur1p and regulates its activity; required for IPC synthase complex localization to the Golgi; post-translationally processed by Kex2p; KEI1 is an essential gene
YDR369C	0.9	0.48	0.72	-0.43	0.86	0.45	-0.15	0.07	-0.27	-0.42	XRS2	"Protein required for DNA repair; component of the Mre11 complex, which is involved in double strand breaks, meiotic recombination, telomere maintenance, and checkpoint signaling"
YDR370C	0.58	-0.22	-0.43	0.7	-0.12	-0.07	-0.42	-0.17	-0.2	-0.67	DXO1	Putative protein of unknown function
YDR371W	0.61	0.46	0.76	-0.45	0.62	0.3	-0.18	-0.14	-0.22	-0.38	CTS2	"Putative chitinase, functionally complements A. gossypii cts2 mutant sporulation defect"
YDR372C	0.44	0.55	0.67	0.41	0.21	0.21	-0.17	-0.04	-0.03	-0.23	VPS74	Protein required for Golgi localization of glycosyltransferases; binds the cytosolic domains of Golgi glycosyltransferases; binding to PtdIns4P required for Golgi targeting and function; tetramer formation required for function
YDR373W	0.08	0.78	1.16	-0.17	1.01	0.52	-0.23	-0.18	-0.23	-0.43	FRQ1	N-myristoylated calcium-binding protein that may have a role in intracellular signaling through its regulation of the phosphatidylinositol 4-kinase Pik1p; member of the recoverin/frequenin branch of the EF-hand superfamily
YDR374C	1.82	0.54	0.32	0.12	0.24	0.2	-0.14	-0.34	0.15	-0.71	PHO92	Putative protein of unknown function
YDR375C	0.16	0.44	0.67	0.29	0.89	0.4	-0.29	-0.01	-0.04	-0.22	BCS1	Mitochondrial protein of the AAA ATPase family; has ATP-dependent chaperone activity; required for assembly of Rip1p and Qcr10p into cytochrome bc(1) complex; mutations in human homolog BCS1L are linked to neonatal mitochondrial diseases
YDR376W	0.19	0.08	0.25	-0.07	0.53	0.15	-0.25	-0.09	0.12	-0.54	ARH1	"Oxidoreductase of the mitochondrial inner membrane, involved in cytoplasmic and mitochondrial iron homeostasis and required for activity of Fe-S cluster-containing enzymes; one of the few mitochondrial proteins essential for viability"
YDR377W				0.59							ATP17	"Subunit f of the F0 sector of mitochondrial F1F0 ATP synthase, which is a large, evolutionarily conserved enzyme complex required for ATP synthesis"
YDR378C	0.36	0.58	0.18	1.5	-0.07	0.18	0.34	-0.47	0.46	0.29	LSM6	"Lsm (Like Sm) protein; part of heteroheptameric complexes (Lsm2p-7p and either Lsm1p or 8p): cytoplasmic Lsm1p complex involved in mRNA decay; nuclear Lsm8p complex part of U6 snRNP and possibly involved in processing tRNA, snoRNA, and rRNA"
YDR379W	0.4	0.99		-0.14	0.32	0.24	0.3	-0.17	0.04	0.14	RGA2	"GTPase-activating protein for the polarity-establishment protein Cdc42p; implicated in control of septin organization, pheromone response, and haploid invasive growth; regulated by Pho85p and Cdc28p"
